code,url,first_name,last_name,slug,birth_date,birthplace,turned_pro,weight,height,residence,handedness,backhand,citizenship,code_dc,url_dc
a0c5,https://www.atptour.com/en/players/dimitris-azoidis/a0c5/overview,Dimitris,Azoidis,dimitris-azoidis,20001009,,,91,,,,,,,
a0ca,https://www.atptour.com/en/players/nicolas-acevedo/a0ca/overview,Nicolas,Acevedo,nicolas-acevedo,19990925,,,,,,,,CHI,,
a0ce,https://www.atptour.com/en/players/david-argasinski/a0ce/overview,David,Argasinski,david-argasinski,20000814,,,75,178,,Right-Handed,Unknown Backhand,POL,,
a0cg,https://www.atptour.com/en/players/shaheed-alam/a0cg/overview,Shaheed,Alam,shaheed-alam,19980709,,,,,,Right-Handed,Two-Handed Backhand,SGP,800425306,https://media.itfdataservices.com/player/dc/en/800425306
a0ci,https://www.atptour.com/en/players/iznaur-akhmaev/a0ci/overview,Iznaur,Akhmaev,iznaur-akhmaev,19930326,,,80,183,,Right-Handed,Two-Handed Backhand,RUS,,
a0cj,https://www.atptour.com/en/players/duje-ajdukovic/a0cj/overview,Duje,Ajdukovic,duje-ajdukovic,20010205,,,77,185,,Right-Handed,Two-Handed Backhand,CRO,800374468,https://media.itfdataservices.com/player/dc/en/800374468
a0cp,https://www.atptour.com/en/players/anze-arh/a0cp/overview,Anze,Arh,anze-arh,19990214,,,,,,,,SLO,,
a0d2,https://www.atptour.com/en/players/mousa-alkotop/a0d2/overview,Mousa,Alkotop,mousa-alkotop,19980625,,,,,,,,JOR,800362852,https://media.itfdataservices.com/player/dc/en/800362852
a0d5,https://www.atptour.com/en/players/giovanni-agostinetto/a0d5/overview,Giovanni,Agostinetto,giovanni-agostinetto,19970503,,,,,,,,ITA,,
a0d8,https://www.atptour.com/en/players/omar-ahmed/a0d8/overview,Omar,Ahmed,omar-ahmed,19970210,,,,,,,,KSA,800337975,https://media.itfdataservices.com/player/dc/en/800337975
a0da,https://www.atptour.com/en/players/lukas-acosta/a0da/overview,Lukas,Acosta,lukas-acosta,20001221,,,,,,,,ECU,,
a0di,https://www.atptour.com/en/players/raphael-archambault-laurin/a0di/overview,Raphael,Archambault-Laurin,raphael-archambault-laurin,20000407,,,,,,Right-Handed,,CAN,,
a0dj,https://www.atptour.com/en/players/matheus-almeida/a0dj/overview,Matheus,Almeida,matheus-almeida,20010401,,,,,,,,BRA,,
a0dq,https://www.atptour.com/en/players/alexandre-abid/a0dq/overview,Alexandre,Abid,alexandre-abid,19990311,,,,,,,,SUI,,
a0dv,https://www.atptour.com/en/players/arda-azkara/a0dv/overview,Arda,Azkara,arda-azkara,20030314,,,,,,,,,,
a0dx,https://www.atptour.com/en/players/robbie-arends/a0dx/overview,Robbie,Arends,robbie-arends,20011125,,,,,,Right-Handed,Two-Handed Backhand,RSA,,
a0e2,https://www.atptour.com/en/players/carlos-alcaraz-garfia/a0e2/overview,Carlos,Alcaraz,carlos-alcaraz-garfia,20030505,,,72,185,,Right-Handed,Two-Handed Backhand,ESP,800446486,https://media.itfdataservices.com/player/dc/en/800446486
a0e5,https://www.atptour.com/en/players/theo-arribage/a0e5/overview,Theo,Arribage,theo-arribage,20001009,,,85,188,,Right-Handed,One-Handed Backhand,FRA,,
a0e6,https://www.atptour.com/en/players/bekkhan-atlangeriev/a0e6/overview,Bekkhan,Atlangeriev,bekkhan-atlangeriev,20010312,,,,,,,,RUS,,
a0e8,https://www.atptour.com/en/players/elyas-abdulnabi/a0e8/overview,Elyas,Abdulnabi,elyas-abdulnabi,19990907,,,,,,,,BRN,800451649,https://media.itfdataservices.com/player/dc/en/800451649
a0ea,https://www.atptour.com/en/players/max-alcala-gurri/a0ea/overview,Max,Alcala Gurri,max-alcala-gurri,20020911,,,68,175,,Right-Handed,Two-Handed Backhand,ESP,,
a0ed,https://www.atptour.com/en/players/francisco-allard/a0ed/overview,Francisco,Allard,francisco-allard,,,,,,,,,MEX,,
a0es,https://www.atptour.com/en/players/pedro-araujo/a0es/overview,Pedro,Araujo,pedro-araujo,20020326,,,68,180,,Right-Handed,Two-Handed Backhand,POR,,
a0eu,https://www.atptour.com/en/players/alexandre-aubriot/a0eu/overview,Alexandre,Aubriot,alexandre-aubriot,19990606,,,85,188,,Right-Handed,One-Handed Backhand,FRA,,
a0ev,https://www.atptour.com/en/players/bartlomiej-andrzejczak/a0ev/overview,Bartlomiej,Andrzejczak,bartlomiej-andrzejczak,20000118,,,,,,,,POL,,
a0ew,https://www.atptour.com/en/players/mark-andrejic/a0ew/overview,Mark,Andrejic,mark-andrejic,20010129,,,,,,,,SLO,,
a0ey,https://www.atptour.com/en/players/walid-ahouda/a0ey/overview,Walid,Ahouda,walid-ahouda,20031014,,,,,,,,MAR,800484994,https://media.itfdataservices.com/player/dc/en/800484994
a0f3,https://www.atptour.com/en/players/fabrizio-andaloro/a0f3/overview,Fabrizio,Andaloro,fabrizio-andaloro,20010131,,,,,,,,ITA,,
a0f7,https://www.atptour.com/en/players/kaya-arinc/a0f7/overview,Kaya,Arinc,kaya-arinc,19990930,,,,,,,,USA,,
a0f9,https://www.atptour.com/en/players/emiliano-aguilera/a0f9/overview,Emiliano,Aguilera,emiliano-aguilera,20030211,,,,,,,,MEX,,
a0fa,https://www.atptour.com/en/players/davi-almeida-toledo/a0fa/overview,Davi,Almeida Toledo,davi-almeida-toledo,20010322,,,,,,,,BRA,,
a0fc,https://www.atptour.com/en/players/matteo-arnaldi/a0fc/overview,Matteo,Arnaldi,matteo-arnaldi,20010222,,,70,183,,Right-Handed,Two-Handed Backhand,ITA,800419962,https://media.itfdataservices.com/player/dc/en/800419962
a0fm,https://www.atptour.com/en/players/egor-agafonov/a0fm/overview,Egor,Agafonov,egor-agafonov,20020905,,,76,185,,Right-Handed,Two-Handed Backhand,,,
a0fr,https://www.atptour.com/en/players/alberto-odiseo-alvarado-berrospi/a0fr/overview,Alberto Odiseo,Alvarado Berrospi,alberto-odiseo-alvarado-berrospi,20000617,,,81,188,,Right-Handed,Two-Handed Backhand,PER,,
a0g1,https://www.atptour.com/en/players/benjamin-denis-alarcon/a0g1/overview,Benjamin Denis,Alarcon,benjamin-denis-alarcon,19991210,,,64,165,,Right-Handed,One-Handed Backhand,ARG,,
a0g4,https://www.atptour.com/en/players/oskar-antinheimo/a0g4/overview,Oskar,Antinheimo,oskar-antinheimo,20021016,,,,,,,,FIN,,
a0g7,https://www.atptour.com/en/players/valerio-aboian/a0g7/overview,Valerio,Aboian,valerio-aboian,20020614,,,,,,,,ARG,,
a0g8,https://www.atptour.com/en/players/amr-elsayed/a0g8/overview,Amr,Elsayed,amr-elsayed,19990304,,,,,,,,EGY,800603729,https://media.itfdataservices.com/player/dc/en/800603729
a0g9,https://www.atptour.com/en/players/vesa-ahti/a0g9/overview,Vesa,Ahti,vesa-ahti,19990531,,,,,,,,FIN,,
a0gc,https://www.atptour.com/en/players/terence-atmane/a0gc/overview,Terence,Atmane,terence-atmane,20020109,,,80,193,,Left-Handed,Two-Handed Backhand,FRA,,
a0gq,https://www.atptour.com/en/players/wissam-abderrahman/a0gq/overview,Wissam,Abderrahman,wissam-abderrahman,20031013,,,,,,,,TUN,,
a0gx,https://www.atptour.com/en/players/abdulrahman-al-janahi/a0gx/overview,Abdulrahman,Al Janahi,abdulrahman-al-janahi,19941115,,,,,,Right-Handed,,UAE,800120371,https://media.itfdataservices.com/player/dc/en/800120371
a0gy,https://www.atptour.com/en/players/lutschaunig-andrew/a0gy/overview,Andrew,Lutschaunig,lutschaunig-andrew,20000131,,,,,,,,USA,,
a0hk,https://www.atptour.com/en/players/mikail-alimli/a0hk/overview,Mikail,Alimli,mikail-alimli,20030710,,,,,,Right-Handed,Unknown Backhand,FRA,,
a0hp,https://www.atptour.com/en/players/arslanbek-aitkulov/a0hp/overview,Arslanbek,Aitkulov,arslanbek-aitkulov,20040304,,,,,,,,KAZ,,
a0hz,https://www.atptour.com/en/players/lorenzo-angelini/a0hz/overview,Lorenzo,Angelini,lorenzo-angelini,20060304,,,,,,Right-Handed,Unknown Backhand,ITA,,
a0i0,https://www.atptour.com/en/players/simone-agostini/a0i0/overview,Simone,Agostini,simone-agostini,19970329,,,80,185,,Right-Handed,Two-Handed Backhand,ITA,,
a0i1,https://www.atptour.com/en/players/bor-artnak/a0i1/overview,Bor,Artnak,bor-artnak,20040604,,,78,193,,Right-Handed,Two-Handed Backhand,SLO,800484668,https://media.itfdataservices.com/player/dc/en/800484668
a0i9,https://www.atptour.com/en/players/edison-ambarzumjan/a0i9/overview,Edison,Ambarzumjan,edison-ambarzumjan,19960731,,,,,,,,,,
a0ia,https://www.atptour.com/en/players/erik-arutiunian/a0ia/overview,Erik,Arutiunian,erik-arutiunian,20041019,,,88,191,,Right-Handed,Two-Handed Backhand,BLR,800508962,https://media.itfdataservices.com/player/dc/en/800508962
a0id,https://www.atptour.com/en/players/issa-alharrasi/a0id/overview,Issa,Alharrasi,issa-alharrasi,19990819,,,,,,,,QAT,,
a0ie,https://www.atptour.com/en/players/seydina-andre/a0ie/overview,Seydina,Andre,seydina-andre,20030808,,,88,196,,,,,,
a0ih,https://www.atptour.com/en/players/jack-anthrop/a0ih/overview,Jack,Anthrop,jack-anthrop,20031105,,,,,,Right-Handed,Two-Handed Backhand,USA,,
a0ik,https://www.atptour.com/en/players/luciano-emanuel-ambrogi/a0ik/overview,Luciano Emanuel,Ambrogi,luciano-emanuel-ambrogi,20031119,,,77,188,,Right-Handed,Two-Handed Backhand,ARG,,
a0im,https://www.atptour.com/en/players/rafael-abdul-salam/a0im/overview,Rafael,Abdul Salam,rafael-abdul-salam,20010411,,,,,,,,VEN,800532877,https://media.itfdataservices.com/player/dc/en/800532877
a0in,https://www.atptour.com/en/players/adrian-arcon/a0in/overview,Adrian,Arcon,adrian-arcon,20010820,,,,,,,,,,
a0io,https://www.atptour.com/en/players/gustavo-almeida/a0io/overview,Gustavo,Almeida,gustavo-almeida,20060419,,,,,,,,BRA,,
a0iq,https://www.atptour.com/en/players/ryan-augusto dos santos/a0iq/overview,Ryan,Augusto Dos Santos,ryan-augusto dos santos,20030729,,,,,,,,,,
a0ix,https://www.atptour.com/en/players/marko-andrejic/a0ix/overview,Marko,Andrejic,marko-andrejic,20030126,,,,,,,,AUT,,
a0iy,https://www.atptour.com/en/players/luis-carlos-alvarez/a0iy/overview,Luis Carlos,Alvarez,luis-carlos-alvarez,20040903,,,,,,,,MEX,800561700,https://media.itfdataservices.com/player/dc/en/800561700
a0iz,https://www.atptour.com/en/players/sotelo-armando/a0iz/overview,Sotelo,Armando,sotelo-armando,20040404,,,,,,,,MEX,,
a0j1,https://www.atptour.com/en/players/temirlan-aslan/a0j1/overview,Temirlan,Aslan,temirlan-aslan,20060321,,,,,,,,KAZ,,
a0j5,https://www.atptour.com/en/players/stefan-adrian-andreescu/a0j5/overview,Stefan,Adrian Andreescu,stefan-adrian-andreescu,20011224,,,,,,,,,,
a0ja,https://www.atptour.com/en/players/michael-agwi/a0ja/overview,Michael,Agwi,michael-agwi,20030904,,,,,,,,IRL,800491015,https://media.itfdataservices.com/player/dc/en/800491015
a0jf,https://www.atptour.com/en/players/hernandez-aguila-abel/a0jf/overview,Hernandez Aguila,Abel,hernandez-aguila-abel,,,,,,,,,ESP,,
a0jp,https://www.atptour.com/en/players/suk-ann/a0jp/overview,Suk,Ann,suk-ann,20020628,,,,,,,,KOR,,
a0jw,https://www.atptour.com/en/players/joaquin-aguilar-cardozo/a0jw/overview,Joaquin,Aguilar Cardozo,joaquin-aguilar-cardozo,20050408,,,,,,,,URU,800724217,https://media.itfdataservices.com/player/dc/en/800724217
a0k2,https://www.atptour.com/en/players/federico-aguilar-cardozo/a0k2/overview,Federico,Aguilar Cardozo,federico-aguilar-cardozo,20050408,,,,,,,,URU,,
a0k3,https://www.atptour.com/en/players/nicolas-arseneault/a0k3/overview,Nicolas,Arseneault,nicolas-arseneault,20070118,,,,,,,,,,
a0k4,https://www.atptour.com/en/players/mikael-arseneault/a0k4/overview,Mikael,Arseneault,mikael-arseneault,20070118,,,,,,,,,,
a0k7,https://www.atptour.com/en/players/romeo-arcuschin/a0k7/overview,Romeo,Arcuschin,romeo-arcuschin,20070506,,,,,,,,ARG,,
a0kg,https://www.atptour.com/en/players/luciano-alcocer/a0kg/overview,Luciano,Alcocer,luciano-alcocer,,,,,,,,,MEX,800566168,https://media.itfdataservices.com/player/dc/en/800566168
a0kh,https://www.atptour.com/en/players/rodrigo-alujas/a0kh/overview,Rodrigo,Alujas,rodrigo-alujas,20020826,,,,,,,,,,
a0ko,https://www.atptour.com/en/players/diego-andrade/a0ko/overview,Diego,Andrade,diego-andrade,20050406,,,,,,,,MEX,,
a0kq,https://www.atptour.com/en/players/izan-almazan-valiente/a0kq/overview,Izan,Almazan Valiente,izan-almazan-valiente,20060302,,,,,,,,ESP,,
a0l1,https://www.atptour.com/en/players/siwanat-auytayakul/a0l1/overview,Siwanat,Auytayakul,siwanat-auytayakul,20040812,,,,,,,,THA,,
a0le,https://www.atptour.com/en/players/valentino-aliano/a0le/overview,Valentino,Aliano,valentino-aliano,20070616,,,,,,,,URU,,
a0lf,https://www.atptour.com/en/players/pablo-aunion/a0lf/overview,Pablo,Aunion,pablo-aunion,20070627,,,,,,,,ESP,,
a0lg,https://www.atptour.com/en/players/matheus-albieri/a0lg/overview,Matheus,Albieri,matheus-albieri,20061027,,,,,,,,BRA,,
a0lm,https://www.atptour.com/en/players/hibiki-arimoto/a0lm/overview,Hibiki,Arimoto,hibiki-arimoto,20030920,,,,,,Right-Handed,Unknown Backhand,JPN,,
a0lq,https://www.atptour.com/en/players/alejandro-arcila/a0lq/overview,Alejandro,Arcila,alejandro-arcila,20070521,,,,,,,,,,
a0lt,https://www.atptour.com/en/players/vishwa-aduru/a0lt/overview,Vishwa,Aduru,vishwa-aduru,20021002,,,,,,,,USA,,
a0lx,https://www.atptour.com/en/players/joaquim-almeida/a0lx/overview,Joaquim,Almeida,joaquim-almeida,20020314,,,,,,,,BRA,,
a0ml,https://www.atptour.com/en/players/emmanuel-alex/a0ml/overview,Emmanuel,Alex,emmanuel-alex,20060221,,,,,,,,,,
a0mr,https://www.atptour.com/en/players/lucca-acioly/a0mr/overview,Lucca,Acioly,lucca-acioly,20061226,,,,,,,,,,
a0mu,https://www.atptour.com/en/players/gai-ando/a0mu/overview,Gai,Ando,gai-ando,20051214,,,,,,,,,,
a0na,https://www.atptour.com/en/players/david-aguiar johansson/a0na/overview,David,Aguiar Johansson,david-aguiar johansson,20080414,,,,,,,,,,
a0nb,https://www.atptour.com/en/players/elyas-abduljalil/a0nb/overview,Elyas,Abduljalil,elyas-abduljalil,19990907,,,,,,,,,,
a0ne,https://www.atptour.com/en/players/benjamin-andrew-mathews/a0ne/overview,Benjamin,Andrew Mathews,benjamin-andrew-mathews,20010202,,,,,,,,,,
a0ng,https://www.atptour.com/en/players/leonardo-aguilar/a0ng/overview,Leonardo,Aguilar,leonardo-aguilar,20010715,,,,,,,,,,
a0nj,https://www.atptour.com/en/players/gustavo-albieri/a0nj/overview,Gustavo,Albieri,gustavo-albieri,20071217,,,,,,,,,,
a0nl,https://www.atptour.com/en/players/luis-antonio-avila/a0nl/overview,Luis,Antonio AVILA,luis-antonio-avila,20050910,,,,,,,,,,
a0o8,https://www.atptour.com/en/players/andre-alcantara/a0o8/overview,Andre,Alcantara,andre-alcantara,20071006,,,,,,,,,,
a141,https://www.atptour.com/en/players/jose-francisco-altur/a141/overview,Jose Francisco,Altur,jose-francisco-altur,19680324,"Valencia, Spain",1985,81,191,"Valencia, Spain",Left-Handed,Unknown Backhand,ESP,,
a172,https://www.atptour.com/en/players/alejandro-aramburu/a172/overview,Alejandro,Aramburu,alejandro-aramburu,19690214,"Lima, Peru",0,64,175,,Right-Handed,Unknown Backhand,PER,800179138,https://media.itfdataservices.com/player/dc/en/800179138
a176,https://www.atptour.com/en/players/jan-apell/a176/overview,Jan,Apell,jan-apell,19691104,"Goteborg, Sweden",1988,73,183,"Kungsbacka,Sweden",Left-Handed,Unknown Backhand,SWE,,
a181,https://www.atptour.com/en/players/massimo-ardinghi/a181/overview,Massimo,Ardinghi,massimo-ardinghi,19710306,"Genova, Italy",1988,71,175,"Florence, Italy",Right-Handed,Unknown Backhand,ITA,,
a183,https://www.atptour.com/en/players/carsten-arriens/a183/overview,Carsten,Arriens,carsten-arriens,19690411,"Frankfurt, Germany",1991,81,193,"Munich, Germany",Right-Handed,Unknown Backhand,GER,,
a190,https://www.atptour.com/en/players/emilio-benfele-alvarez/a190/overview,Emilio,Benfele Alvarez,emilio-benfele-alvarez,19721115,"Figeras, Spain",1989,85,183,"Munich, Gemany",Right-Handed,Unknown Backhand,ESP,,
a202,https://www.atptour.com/en/players/wayne-arthurs/a202/overview,Wayne,Arthurs,wayne-arthurs,19710318,"Adelaide, S.A., Australia",1990,91,185,"Melbourne, Australia",Left-Handed,One-Handed Backhand,AUS,800180214,https://media.itfdataservices.com/player/dc/en/800180214
a203,https://www.atptour.com/en/players/karim-alami/a203/overview,Karim,Alami,karim-alami,19730524,"Casablanca, Morocco",1990,85,185,"Monte Carlo, Monaco",Right-Handed,Unknown Backhand,MAR,800180449,https://media.itfdataservices.com/player/dc/en/800180449
a207,https://www.atptour.com/en/players/roberto-alvarez/a207/overview,Roberto,Alvarez,roberto-alvarez,19710223,,0,0,0,,Right-Handed,Unknown Backhand,ARG,,
a226,https://www.atptour.com/en/players/hicham-arazi/a226/overview,Hicham,Arazi,hicham-arazi,19731019,"Casablanca, Morocco",1993,65,175,"Monte Carlo, Monaco",Left-Handed,Unknown Backhand,MAR,800182473,https://media.itfdataservices.com/player/dc/en/800182473
a228,https://www.atptour.com/en/players/lucas-arnold-ker/a228/overview,Lucas,Arnold Ker,lucas-arnold-ker,19741012,"Buenos Aires, Argentina",1994,76,180,"Barcelona, Spain",Right-Handed,Unknown Backhand,ARG,800182481,https://media.itfdataservices.com/player/dc/en/800182481
a229,https://www.atptour.com/en/players/enrique-abaroa/a229/overview,Enrique,Abaroa,enrique-abaroa,19740110,,,75,183,,Right-Handed,Unknown Backhand,MEX,,
a234,https://www.atptour.com/en/players/pietro-angelini/a234/overview,Pietro,Angelini,pietro-angelini,19711207,,0,0,0,,Right-Handed,Unknown Backhand,ITA,,
a237,https://www.atptour.com/en/players/mustafa-azkara/a237/overview,Mustafa,Azkara,mustafa-azkara,19701219,,,,,,Right-Handed,Unknown Backhand,TUR,800181010,https://media.itfdataservices.com/player/dc/en/800181010
a244,https://www.atptour.com/en/players/nasser-ghanim-al-khulaifi/a244/overview,Nasser-Ghanim,Al-Khulaifi,nasser-ghanim-al-khulaifi,19731112,,0,0,0,,Right-Handed,Unknown Backhand,QAT,800182926,https://media.itfdataservices.com/player/dc/en/800182926
a245,https://www.atptour.com/en/players/naoki-arimoto/a245/overview,Naoki,Arimoto,naoki-arimoto,19740612,,,0,0,,Right-Handed,Unknown Backhand,JPN,,
a250,https://www.atptour.com/en/players/trent-aaron/a250/overview,Trent,Aaron,trent-aaron,19690626,,,0,0,,Right-Handed,Unknown Backhand,USA,,
a260,https://www.atptour.com/en/players/timothy-aerts/a260/overview,Timothy,Aerts,timothy-aerts,19760914,,,0,0,,Right-Handed,Unknown Backhand,BEL,,
a264,https://www.atptour.com/en/players/enzo-artoni/a264/overview,Enzo,Artoni,enzo-artoni,19760127,,,0,0,,Right-Handed,Unknown Backhand,ITA,,
a270,https://www.atptour.com/en/players/charles-auffray/a270/overview,Charles,Auffray,charles-auffray,19730224,,1996,83,183,,Right-Handed,Unknown Backhand,FRA,,
a272,https://www.atptour.com/en/players/julian-alonso/a272/overview,Julian,Alonso,julian-alonso,19770802,"Canet de Mar, Spain",1996,82,185,"Monte Carlo, Monaco",Right-Handed,Unknown Backhand,ESP,800186901,https://media.itfdataservices.com/player/dc/en/800186901
a276,https://www.atptour.com/en/players/jan-frode-andersen/a276/overview,Jan Frode,Andersen,jan-frode-andersen,19720829,"Asker, Norway",1997,85,191,"Oslo, Norway",Left-Handed,Two-Handed Backhand,NOR,800197511,https://media.itfdataservices.com/player/dc/en/800197511
a278,https://www.atptour.com/en/players/daniel-andersson/a278/overview,Daniel,Andersson,daniel-andersson,19761228,,,0,0,,Right-Handed,Unknown Backhand,SWE,,
a280,https://www.atptour.com/en/players/henrik-andersson/a280/overview,Henrik,Andersson,henrik-andersson,19770502,,0,0,0,,Right-Handed,Unknown Backhand,SWE,,
a286,https://www.atptour.com/en/players/alejandro-aybar/a286/overview,Alejandro,Aybar,alejandro-aybar,19770327,,,,,,Right-Handed,Unknown Backhand,DOM,,
a288,https://www.atptour.com/en/players/claudiu-antonescu/a288/overview,Claudiu,Antonescu,claudiu-antonescu,19770929,,,0,0,,Right-Handed,Unknown Backhand,ROU,,
a293,https://www.atptour.com/en/players/yves-allegro/a293/overview,Yves,Allegro,yves-allegro,19780824,"Grone, Switzerland",1997,82,183,"Grone, Switzerland",Right-Handed,Unknown Backhand,SUI,800191383,https://media.itfdataservices.com/player/dc/en/800191383
a295,https://www.atptour.com/en/players/kevin-arias/a295/overview,Kevin,Arias,kevin-arias,19710417,,,0,0,,Right-Handed,Unknown Backhand,USA,,
a303,https://www.atptour.com/en/players/leonardo-azzaro/a303/overview,Leonardo,Azzaro,leonardo-azzaro,19780530,"Florence, Italy",1997,75,188,"Florence, Italy",Left-Handed,Unknown Backhand,ITA,,
a305,https://www.atptour.com/en/players/jacob-adaktusson/a305/overview,Jacob,Adaktusson,jacob-adaktusson,19800831,"Stockholm, Sweden",0,87,193,"Stockholm, Sweden",Right-Handed,Unknown Backhand,SWE,,
a308,https://www.atptour.com/en/players/florian-allgauer/a308/overview,Florian,Allgauer,florian-allgauer,19790107,,0,0,0,,Right-Handed,Unknown Backhand,ITA,,
